config	frameskip	rep	window_fps
baseline	0	1	350.47
baseline	0	2	356.13
baseline	0	3	358.60
baseline	9	1	644.74
baseline	9	2	678.84
baseline	9	3	685.83
dispatch	0	1	358.88
dispatch	0	2	353.03
dispatch	0	3	361.66
dispatch	9	1	686.99
dispatch	9	2	698.85
dispatch	9	3	699.52
link	0	1	354.80
link	0	2	357.32
link	0	3	361.29
link	9	1	701.60
link	9	2	675.59
link	9	3	683.26
es	0	1	372.27
es	0	2	375.51
es	0	3	379.70
es	9	1	768.37
es	9	2	771.26
es	9	3	771.30
full	0	1	390.66
full	0	2	398.47
full	0	3	398.81
full	9	1	855.68
full	9	2	814.47
full	9	3	847.39
