ts	config	fastmem	frameskip	rep	avg_fps	soc_mC_pre	cpu_khz_pre
11:36:45	baseline	on	0	1	76.75	46111	1992000
11:37:21	baseline	on	9	1	123.56	46666	1992000
11:38:00	baseline	off	0	1	76.79	45555	1992000
11:38:36	baseline	off	9	1	122.25	45000	1992000
11:39:15	dispatch	on	0	1	76.65	45000	1992000
11:39:51	dispatch	on	9	1	124.25	45555	1992000
11:40:30	dispatch	off	0	1	79.03	45555	1992000
11:41:06	dispatch	off	9	1	127.38	45000	1992000
11:41:45	link	on	0	1	77.80	46111	1992000
11:42:21	link	on	9	1	124.85	45555	1992000
11:43:00	link	off	0	1	76.55	46111	1992000
11:43:36	link	off	9	1	122.48	45555	1992000
11:44:15	es	on	0	1	84.70	46111	1992000
11:44:50	es	on	9	1	147.21	46111	1992000
11:45:29	es	off	0	1	83.98	45555	1992000
11:46:04	es	off	9	1	138.83	46666	1992000
11:46:42	full	on	0	1	87.06	46666	1992000
11:47:18	full	on	9	1	149.30	46111	1992000
11:47:56	full	off	0	1	86.61	45555	1992000
11:48:31	full	off	9	1	146.07	45555	1992000
11:49:10	baseline	on	0	2	76.05	45555	1992000
11:49:47	baseline	on	9	2	121.80	46111	1992000
11:50:26	baseline	off	0	2	77.16	46111	1992000
11:51:02	baseline	off	9	2	122.21	46111	1992000
11:51:41	dispatch	on	0	2	76.86	45555	1992000
11:52:17	dispatch	on	9	2	122.18	45555	1992000
11:52:56	dispatch	off	0	2	76.36	46111	1992000
11:53:32	dispatch	off	9	2	124.31	45555	1992000
11:54:11	link	on	0	2	79.14	45555	1992000
11:54:47	link	on	9	2	127.37	45555	1992000
11:55:26	link	off	0	2	76.72	46111	1992000
11:56:02	link	off	9	2	124.29	45555	1992000
11:56:41	es	on	0	2	83.29	46111	1992000
11:57:16	es	on	9	2	146.31	46111	1992000
11:57:55	es	off	0	2	83.57	46666	1992000
11:58:30	es	off	9	2	143.78	46666	1992000
11:59:08	full	on	0	2	85.28	46666	1992000
11:59:44	full	on	9	2	146.02	46666	1992000
12:00:22	full	off	0	2	87.82	46111	1992000
12:00:57	full	off	9	2	148.51	45555	1992000
12:01:36	baseline	on	0	3	76.79	46111	1992000
12:02:12	baseline	on	9	3	121.91	45555	1992000
12:02:52	baseline	off	0	3	75.89	45555	1992000
12:03:28	baseline	off	9	3	119.69	45555	1992000
12:04:07	dispatch	on	0	3	77.09	45555	1992000
12:04:43	dispatch	on	9	3	120.64	46111	1992000
12:05:22	dispatch	off	0	3	77.84	46666	1992000
12:05:58	dispatch	off	9	3	126.00	46111	1992000
12:06:37	link	on	0	3	79.01	46666	1992000
12:07:13	link	on	9	3	126.16	45555	1992000
12:07:52	link	off	0	3	77.26	46111	1992000
12:08:28	link	off	9	3	125.59	46111	1992000
12:09:07	es	on	0	3	86.20	46666	1992000
12:09:42	es	on	9	3	143.29	46666	1992000
12:10:21	es	off	0	3	84.33	45555	1992000
12:10:56	es	off	9	3	139.99	45555	1992000
12:11:34	full	on	0	3	86.44	46111	1992000
12:12:10	full	on	9	3	145.86	46111	1992000
12:12:48	full	off	0	3	87.17	45555	1992000
12:13:23	full	off	9	3	149.60	46111	1992000
12:14:11	interp	na	0	1	36.11	46666	1992000
12:14:59	interp	na	0	2	36.02	47222	1992000
12:15:47	interp	na	0	3	35.88	47777	1992000
